epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,854.931,0.47486,0.31121,0.89614,0.98776,0.97407,0.98422,0.89511,0.43547,0.27643,0.88289,0.000220089,0.000220089,0.000220089
83,866.331,0.47034,0.30316,0.89812,0.98982,0.98765,0.98881,0.89194,0.44273,0.25777,0.88531,0.00020909,0.00020909,0.00020909
84,877.591,0.46354,0.30225,0.89663,0.98885,0.98923,0.98881,0.88999,0.43376,0.25579,0.87882,0.000198091,0.000198091,0.000198091
85,888.914,0.47373,0.30475,0.89316,0.98923,0.98687,0.988,0.88594,0.44009,0.25193,0.88094,0.000187092,0.000187092,0.000187092
86,900.301,0.48521,0.31247,0.92028,0.98957,0.97987,0.98569,0.88777,0.43977,0.25785,0.88444,0.000176094,0.000176094,0.000176094
87,911.187,0.48008,0.30627,0.89562,0.9827,0.97889,0.98569,0.8882,0.43039,0.26393,0.87991,0.000165095,0.000165095,0.000165095
88,922.279,0.45306,0.2879,0.8865,0.9762,0.98868,0.98844,0.88639,0.42814,0.25387,0.87881,0.000154096,0.000154096,0.000154096
89,933.173,0.47811,0.2973,0.90332,0.98844,0.98476,0.98614,0.89658,0.4221,0.25607,0.87514,0.000143097,0.000143097,0.000143097
90,943.378,0.4941,0.31775,0.90753,0.98897,0.9851,0.98308,0.89632,0.4199,0.2569,0.87743,0.000132098,0.000132098,0.000132098
91,969.479,0.4594,0.29947,0.92224,0.98698,0.98381,0.98146,0.89406,0.42872,0.2601,0.88016,0.000121099,0.000121099,0.000121099
92,979.742,0.43313,0.27339,0.90603,0.98861,0.97888,0.98025,0.89186,0.427,0.26079,0.88109,0.0001101,0.0001101,0.0001101
93,989.921,0.40795,0.27117,0.89079,0.98976,0.97952,0.98044,0.8917,0.42193,0.2546,0.88146,9.91012e-05,9.91012e-05,9.91012e-05
94,1000.19,0.41663,0.27224,0.8802,0.98747,0.98345,0.98192,0.88899,0.42109,0.24703,0.87975,8.81023e-05,8.81023e-05,8.81023e-05
95,1010.5,0.41964,0.26598,0.885,0.98887,0.98421,0.98044,0.88615,0.4235,0.24899,0.88107,7.71034e-05,7.71034e-05,7.71034e-05
96,1021.31,0.41126,0.26487,0.88594,0.98988,0.9851,0.98238,0.88888,0.42177,0.24609,0.88443,6.61045e-05,6.61045e-05,6.61045e-05
97,1031.89,0.40202,0.25148,0.89127,0.99006,0.9851,0.98247,0.88512,0.42217,0.24957,0.88446,5.51056e-05,5.51056e-05,5.51056e-05
98,1042.1,0.40466,0.25507,0.89187,0.9899,0.9851,0.98151,0.88798,0.42287,0.24931,0.88295,4.41067e-05,4.41067e-05,4.41067e-05
99,1052.34,0.39954,0.2499,0.88884,0.98969,0.9851,0.98194,0.88943,0.42561,0.24796,0.88322,3.31078e-05,3.31078e-05,3.31078e-05
100,1062.71,0.42861,0.26367,0.89521,0.98959,0.9851,0.98202,0.88851,0.42206,0.24445,0.88274,2.21089e-05,2.21089e-05,2.21089e-05
